scheme_code,nav,nav_date
101875,13.4460,2026-04-20
151088,10.6224,2026-04-20
151087,32.8149,2026-04-20
151086,12.7478,2026-04-20
151089,10.0883,2026-04-20
151084,30.1803,2026-04-20
151085,10.6989,2026-04-20
113218,11.2597,2026-04-20
120601,11.2730,2026-04-20
120603,41.5307,2026-04-20
120600,26.9505,2026-04-20
120602,12.0861,2026-04-20
120604,10.5902,2026-04-20
112096,38.2381,2026-04-20
112097,23.7785,2026-04-20
113403,11.7766,2026-04-20
101351,10.9965,2026-04-20
149030,13.3862,2026-04-20
149029,13.3864,2026-04-20
149028,11.1284,2026-04-20
149023,10.1551,2026-04-20
149025,13.4149,2026-04-20
149027,12.7286,2026-04-20
149021,12.7275,2026-04-20
149026,12.7308,2026-04-20
149022,10.0301,2026-04-20
149024,12.7310,2026-04-20
120432,10.1066,2026-04-20
120434,45.8606,2026-04-20
133414,46.2126,2026-04-20
120433,10.5600,2026-04-20
105639,10.0461,2026-04-20
101806,42.5774,2026-04-20
101805,42.7109,2026-04-20
133390,42.9136,2026-04-20
105637,10.5446,2026-04-20
120435,45.6154,2026-04-20
119753,14.8037,2026-04-20
119755,42.1812,2026-04-20
117998,14.4811,2026-04-20
108511,38.4375,2026-04-20
144403,15.9795,2026-04-20
144406,12.5833,2026-04-20
144404,11.3755,2026-04-20
144401,14.6587,2026-04-20
144405,11.3609,2026-04-20
144402,10.2383,2026-04-20
140769,18.5505,2026-04-20
140770,18.5292,2026-04-20
140772,16.8531,2026-04-20
140771,16.8527,2026-04-20
118750,29.8720,2026-04-20
118749,10.3350,2026-04-20
118747,41.3467,2026-04-20
102851,25.8406,2026-04-20
117974,10.2347,2026-04-20
102849,38.4177,2026-04-20
120084,3059.0406,2026-04-20
120086,1174.9864,2026-04-20
116484,1054.2724,2026-04-20
116485,2666.9343,2026-04-20
134494,22.3112,2026-04-20
134493,10.2669,2026-04-20
141061,21.8698,2026-04-20
141060,10.3232,2026-04-20
119671,40.4646,2026-04-20
119670,22.6019,2026-04-20
102205,36.7626,2026-04-20
102206,19.2730,2026-04-20
119311,24.5295,2026-04-20
119310,16.4306,2026-04-20
116555,23.1694,2026-04-20
116556,15.4470,2026-04-20
135536,14.8172,2026-04-20
133180,17.5275,2026-04-20
120762,34.9260,2026-04-20
134788,17.1920,2026-04-20
120763,26.8769,2026-04-20
133852,13.6964,2026-04-20
135336,16.9192,2026-04-20
113077,31.9205,2026-04-20
139181,15.7296,2026-04-20
113078,17.3804,2026-04-20
122645,100.0792,2026-04-20
122648,101.1322,2026-04-20
122646,375.9883,2026-04-20
122643,100.4304,2026-04-20
122647,101.0401,2026-04-20
122644,365.2411,2026-04-20
122649,101.3105,2026-04-20
122650,528.2751,2026-04-20
149055,1342.8731,2026-04-20
149050,1002.0173,2026-04-20
149049,1380.0538,2026-04-20
149051,1014.2283,2026-04-20
149052,1304.5981,2026-04-20
149047,1321.9781,2026-04-20
149054,1012.4474,2026-04-20
149048,1357.0574,2026-04-20
149053,1013.4727,2026-04-20
