scheme_code,nav,nav_date
103149,197.8000,2026-05-21
103150,27.8500,2026-05-21
103151,244.7965,2026-05-21
103154,164.5700,2026-05-21
103155,1475.3700,2026-05-21
103158,1006.1332,2026-05-21
103159,4117.5997,2026-05-21
103160,1001.4715,2026-05-21
103164,181.9900,2026-05-21
103165,157.8800,2026-05-21
103166,1832.6700,2026-05-21
103167,35.8900,2026-05-21
103168,144.6500,2026-05-21
103173,37.0500,2026-05-21
103174,497.7400,2026-05-21
103176,567.9291,2026-05-21
103178,116.0688,2026-05-21
103183,12.3822,2026-05-21
103191,99.8865,2026-05-21
103192,685.0803,2026-05-21
103193,100.5707,2026-05-21
103195,480.3570,2026-05-21
103196,128.7503,2026-05-21
103197,33.4424,2026-05-21
103215,104.8768,2026-05-21
103216,46.9614,2026-05-21
103225,43.3474,2026-05-21
103226,12.6525,2026-05-21
103227,14.4888,2026-05-21
103228,15.1836,2026-05-21
103233,58.7940,2026-05-21
103234,337.0030,2026-05-21
103308,23.8986,2026-05-21
103309,139.9744,2026-05-21
103312,161.6000,2026-05-21
103313,36.4200,2026-05-21
103338,41.2600,2026-05-21
103339,110.2470,2026-05-21
103340,407.3446,2026-05-21
103342,100.1992,2026-05-21
103343,100.1482,2026-05-21
103347,3930.5042,2026-05-21
103348,1001.4509,2026-05-21
103349,1001.4663,2026-05-21
103360,169.1546,2026-05-21
103361,42.2846,2026-05-21
103389,64.9500,2026-05-21
103390,169.2200,2026-05-21
103400,29.6457,2026-05-21
103401,29.6168,2026-05-21
103408,66.2978,2026-05-21
103409,37.4902,2026-05-21
103475,27.9100,2026-05-21
103476,101.6500,2026-05-21
103490,122.9600,2026-05-21
103491,123.2100,2026-05-21
103504,90.7112,2026-05-21
103616,51.6042,2026-05-21
103633,399.2234,2026-05-21
103634,99.9578,2026-05-21
103635,100.5269,2026-05-21
103678,136.1089,2026-05-21
103679,23.6196,2026-05-21
103734,37.0209,2026-05-21
103735,10.0465,2026-05-21
103736,10.0085,2026-05-21
103743,23.0302,2026-05-21
103780,34.2040,2026-05-21
103781,15.8753,2026-05-21
103819,601.1770,2026-05-21
103820,35.1800,2026-05-21
103883,85.9426,2026-05-21
103884,1263.7803,2026-05-21
103885,109.3844,2026-05-21
104074,20.8198,2026-05-21
104075,36.8540,2026-05-21
104138,3569.3096,2026-05-21
104139,1004.2485,2026-05-21
104140,1004.4762,2026-05-21
104457,35.5761,2026-05-21
104458,18.7091,2026-05-21
104481,149.6000,2026-05-21
104482,28.4950,2026-05-21
104484,1002.7594,2026-05-21
104485,1019.0181,2026-05-21
104486,3783.7072,2026-05-21
104488,3335.1763,2026-05-21
104489,1004.4846,2026-05-21
104492,1006.1807,2026-05-21
104513,121.1745,2026-05-21
104514,73.9647,2026-05-21
104523,229.3928,2026-05-21
104559,10.2353,2026-05-21
104635,22.8000,2026-05-21
104636,116.4900,2026-05-21
104637,119.3520,2026-05-21
104638,31.9528,2026-05-21
104681,15.3401,2026-05-21
104683,36.0690,2026-05-21
104685,75.2800,2026-05-21
104686,17.5700,2026-05-21
104722,1441.6539,2026-05-21
104723,1416.8974,2026-05-21
104725,1325.1277,2026-05-21
104726,3964.0040,2026-05-21
104728,3510.6979,2026-05-21
104729,1444.6632,2026-05-21
104772,134.4030,2026-05-21
104773,21.3560,2026-05-21
104907,76.4970,2026-05-21
104908,139.2800,2026-05-21
105000,28.4125,2026-05-21
105001,84.1861,2026-05-21
105024,1746.1202,2026-05-21
105025,1015.8694,2026-05-21
